date,speed
2014-01-20,15.153846153846153
2014-02-01,15.153846153846153
2014-02-02,10.102564102564102
2014-02-20,20.41794871794872
2014-03-01,26.838461538461537
2014-03-02,21.47076923076923
2014-04-01,40.380952380952365
2014-04-02,40.56137909709338
2014-04-21,50.76818800247372
2014-04-22,45.77635435992579
2014-05-15,60.608393114821695
2014-05-16,57.80692486085344
2014-06-07,73.69585343228202
2014-06-08,65.97210343228201
2014-07-01,71.52902803545662
2014-07-02,63.02269867037725
2014-07-28,51.65037724180582
2014-07-29,38.827996289424874
2014-07-30,36.41282858756152
2014-08-21,42.40471989190935
2014-08-22,49.64594659998389
2014-08-24,54.47343107203358
2014-08-25,65.60020569492622
2014-08-26,87.36195332876235
2014-08-27,96.13576285257187
2014-08-28,127.92742951923853
2014-08-29,148.65976647576028
2014-08-30,137.20988724870713
2014-09-01,148.24998386706463
2014-09-02,158.36233564572078
2014-09-03,149.9559621279342
2014-09-09,142.84287684365327
2014-09-10,132.66558945712674
2014-09-13,143.52527372213711
2014-09-14,137.77749745402116
2014-09-17,136.1071613487752
2014-09-18,131.7779736996677
2014-09-26,129.86247835774415
2014-09-27,110.58460119614607
2014-10-12,104.07580359839496
2014-10-15,88.83178366484013
2014-10-16,91.08178366484013
2014-10-17,90.39606937912583
2014-10-18,89.27974284851359
2014-10-24,84.4157122362687
2014-10-25,81.60083128388776
2014-10-29,91.4032122362687
2014-10-30,97.10823869129516
2014-11-01,101.67225985531631
2014-11-02,101.52767111072758
2014-11-04,102.00718049023696
2014-11-05,95.02830381136027
2014-11-18,75.99501117806761
2014-11-19,68.80368842674487
2014-11-22,72.28351526657171
2014-11-23,72.89390487696132
2014-11-26,77.91208669514315
2014-11-27,76.52622810928456
2014-12-05,66.25729386892172
2014-12-06,64.41392652198296
2014-12-11,67.74210112515757
2014-12-12,65.66178366484012
2014-12-17,63.9597057427622
2014-12-18,70.82788756094402
2014-12-25,91.32702176007821
2014-12-26,92.88813287118931
2015-01-01,100.33813287118932
2015-01-02,96.17916461722106
2015-01-07,95.59104292409936
2015-01-08,91.76511699817344
2015-01-11,92.63072546378189
2015-01-12,83.77583128388771
2015-01-23,93.00770959076601
2015-01-24,83.92760623159289
2015-01-27,104.87528065019755
2015-01-28,113.17383792840602
2015-01-29,115.59993024694019
2015-01-30,126.51056273460757
2015-01-31,124.73520743744996
2015-02-01,128.75846325140347
2015-02-02,128.13813429095822
2015-02-04,127.99928089629087
2015-02-05,119.85671906535694
2015-02-06,115.96421260540863
2015-02-07,119.23281725657142
2015-02-12,130.95996749651235
2015-02-13,131.440026558897
2015-02-17,136.26980046070577
2015-02-18,132.42548331524293
2015-02-25,128.73168676561534
2015-02-26,110.71293676561534
2015-03-07,84.3238163952449
2015-03-08,86.5701932068391
2015-03-30,31.646521709254312
2015-03-31,30.1306601955668
2015-04-03,40.84971471592572
2015-04-07,59.70885205201952
2015-04-08,59.467823756643455
2015-04-11,60.64047155972607
2015-04-15,70.19236284764223
2015-04-16,77.35628131357934
2015-04-17,74.04197451195371
2015-05-04,79.82797361368777
2015-05-05,83.37672644815493
2015-05-10,90.42888064316625
2015-05-11,95.2452071737785
2015-05-12,93.87424628942478
2015-05-15,117.47097247990098
2015-05-16,112.06769867037718
2015-05-18,119.99478200371053
2015-05-23,129.97804919947774
2015-05-24,129.07632962275815
2015-06-01,128.3385590599876
2015-06-02,124.73208359101214
2015-06-03,126.05152803545657
2015-06-04,127.930099464028
2015-06-05,123.30169592312448
2015-06-18,120.24627009894857
2015-06-19,122.87011269154118
2015-06-20,115.41918676561527
2015-06-21,113.89115646258497
2015-06-22,103.77903525046376
2015-06-23,97.38358070500921
2015-06-28,93.48585343228194
2015-06-29,89.39931497074349
2015-07-08,89.05344602487452
2015-07-09,86.8675200989486
2015-07-13,85.07903525046378
2015-07-14,78.01918676561529
2015-09-01,49.24974232116983
2015-09-18,73.7140280354561
2015-09-19,65.5724936439219
2015-10-01,74.25238782381608
2015-10-02,62.27950422593257
2015-10-30,42.67037724180549
2015-10-31,17.694186765615015
2015-11-14,17.71887812363971
2015-12-10,42.360853432281495
2015-12-11,38.978137382898964
2015-12-25,53.11239664215822
2015-12-29,123.04372380265214
2015-12-30,112.20252009894848
2016-01-01,104.97505096314605
2016-01-02,94.58043015185861
2016-01-05,95.93446454339302
2016-01-06,93.44850775326958
2016-01-19,113.7997423211708
2016-01-20,110.78431022240538
2016-01-28,94.72427935820784
2016-01-29,95.63342287672636
2016-02-08,112.23085343228183
2016-02-09,93.58585343228187
2016-02-11,94.05371057513904
2016-02-14,96.59210343228192
2016-02-15,92.4664089878375
2016-02-16,87.41585343228195
2016-02-24,74.39974232117083
2016-02-25,75.33585343228195
2016-02-29,77.43148835291686
2016-03-01,79.55299628942481
2016-03-06,85.72513914656768
2016-03-07,82.67811533704388
2016-03-10,87.7115027829313
2016-03-11,87.0989486703772
2016-03-16,85.48656771799622
2016-03-17,93.60990105132956
2016-03-22,96.2993815708101
2016-03-23,88.30450422593276
2016-03-24,88.43960801103655
2016-04-02,83.33609152752005
2016-04-03,80.84183911326765
2016-04-15,76.95279482422333
2016-04-16,59.40517577660428
2016-04-18,57.30241326134178
2016-05-05,42.629307200735624
2016-05-06,39.99379826522673
2016-05-15,40.480287775716235
2016-05-16,46.25628777571624
2016-06-08,38.937823129251484
2016-06-09,29.293580705009127
2016-07-03,20.654186765615123
2016-07-15,32.36085343228166
2016-07-16,21.694186765615125
2016-07-28,22.43980080070291
2016-07-29,31.398280332866694
2016-08-06,47.97254933871464
