Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Date Started,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
19154509,"NARUTO -ナルト- 67 (Naruto, #67)",Masashi Kishimoto,"Kishimoto, Masashi",,4088708490,9.78409E+12,3,4.3,Shueisha,Paperback,192,2013,2013,,10/21/2014,,,,read,,,,1,,,0,,,,,
18489575,"NARUTO -ナルト- 66 (Naruto, #66)",Masashi Kishimoto,"Kishimoto, Masashi",,4088708016,9.78409E+12,4,4.35,Shueisha,Paperback,192,2013,2013,,10/21/2014,,,,read,,,,1,,,0,,,,,
18120987,"NARUTO -ナルト- 65 (Naruto, #65)",Masashi Kishimoto,"Kishimoto, Masashi",,,9.78409E+12,3,4.37,Shueisha,Paperback,192,2013,2013,,10/21/2014,,,,read,,,,1,,,0,,,,,
17571503,"Naruto, Vol. 64: Ten Tails (Naruto, #64)",Masashi Kishimoto,"Kishimoto, Masashi",,1421561395,9.78142E+12,5,4.35,VIZ Media LLC,Paperback,192,2014,2013,,10/21/2014,,,,read,,,,1,,,0,,,,,
20933764,"NARUTO -ナルト- 68 (Naruto, #68)",Masashi Kishimoto,"Kishimoto, Masashi",,,9.78409E+12,4,4.26,Shueisha,Mass Market Paperback,194,2014,2014,,10/21/2014,,,,read,,,,1,,,0,,,,,
22845375,"NARUTO -ナルト- 70 (Naruto, #70)",Masashi Kishimoto,"Kishimoto, Masashi",,4088801512,9.78409E+12,4,4.29,Shueisha,Paperback,208,2014,2014,,10/21/2014,,,,read,,,,1,,,0,,,,,
22010045,"NARUTO -ナルト- 69 (Naruto, #69)",Masashi Kishimoto,"Kishimoto, Masashi",,4088800540,9.78409E+12,5,4.25,Shueisha,Paperback,208,2014,2014,,10/21/2014,,,,read,,,,1,,,0,,,,,
3950967,The Tales of Beedle the Bard,J.K. Rowling,"Rowling, J.K.",,747599874,9.78075E+12,5,4.07,Bloomsbury,Hardcover,109,2008,2007,,10/21/2014,,,,read,,,,1,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,439785960,9.78044E+12,4,4.54,Scholastic Inc.,Paperback,652,2006,2005,,10/21/2014,,,,read,,,,1,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,439358078,9.78044E+12,4,4.47,Scholastic Inc.,Paperback,870,2004,2003,,10/21/2014,,,,read,,,,1,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,439139600,9.78044E+12,4,4.53,Scholastic Inc.,Paperback,734,2002,2000,,10/21/2014,,,,read,,,,1,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9.78044E+12,5,4.53,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,10/21/2014,,,,read,,,,1,,,0,,,,,
